epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.8584768772125244,0.7729310989379883,0.14152249693870544,1e-04,0.8629239797592163,0.9004760384559631,0.8631715774536133,0.7814276814460754,0.13801251351833344,0.8473981618881226,0.9273887872695923
1,0.9292290210723877,0.8774725198745728,0.07077091187238693,1e-04,0.9314538240432739,0.9528756737709045,0.8602346777915955,0.7736837267875671,0.14044204354286194,0.8250184059143066,0.9532524943351746
2,0.9531870484352112,0.9160770773887634,0.04681236669421196,1e-04,0.9543847441673279,0.9695817232131958,0.8898829221725464,0.8184613585472107,0.11119579523801804,0.8610518574714661,0.9601483345031738
3,0.9594910144805908,0.926956057548523,0.04050815850496292,1e-04,0.9628241658210754,0.9716426730155945,0.8696635365486145,0.7917940020561218,0.13177868723869324,0.8207414150238037,0.9792760014533997
4,0.9752817749977112,0.9537376165390015,0.02471843920648098,1e-04,0.9757871031761169,0.9842118620872498,0.8658012747764587,0.789363443851471,0.13578087091445923,0.8250923156738281,0.965488076210022
5,0.9726455807685852,0.9489991664886475,0.02735445648431778,1e-04,0.974281370639801,0.9803418517112732,0.8584063053131104,0.7716948986053467,0.14323890209197998,0.8538641333580017,0.9075880646705627
6,0.9787678718566895,0.9598687887191772,0.02123202756047249,1e-04,0.979588508605957,0.9850025773048401,0.8708508610725403,0.7919637560844421,0.13064855337142944,0.8664554357528687,0.9317311644554138
7,0.9813798069953918,0.964570939540863,0.01861988566815853,1e-04,0.9821329116821289,0.986810028553009,0.8609064221382141,0.7808367609977722,0.14069576561450958,0.8365243673324585,0.9398177266120911
8,0.9862327575683594,0.9736552834510803,0.013766666874289513,1e-05,0.9868483543395996,0.9907883405685425,0.8763914108276367,0.8037545680999756,0.12500326335430145,0.8383760452270508,0.9693933129310608
9,0.9882785081863403,0.9775291681289673,0.01172171626240015,1e-05,0.9886687994003296,0.992521345615387,0.8748060464859009,0.8009476065635681,0.12663394212722778,0.835944652557373,0.9673317074775696
